Id,mean_exam_points
10000,55.94085650886434
10001,64.66387138573097
10002,48.37453508868958
10003,91.4103362673892
10004,88.55864654611368
10005,63.683035696687334
10006,41.077882277085514
10007,54.80467627333132
10008,57.86829801153637
10009,79.96422753294313
10010,52.052175873218935
10011,62.56631991036958
10012,51.15012044075118
10013,84.86037722530644
10014,65.4463268407653
10015,61.07418577289727
10016,87.57143919331853
10017,56.682339810778565
10018,54.75397610489591
10019,52.19147901994436
10020,79.3642140425965
10021,60.17981513252581
10022,65.74910900713387
10023,63.74954609300885
10024,55.045811707810586
10025,81.00095118133241
10026,61.41575834735834
10027,57.780493052258905
10028,59.56707425941637
10029,55.9912273322785
10030,73.60307784185024
10031,58.45122828926716
10032,44.69103240610838
10033,53.364706442907654
10034,48.37453508868958
10035,70.2859006030657
10036,54.75397610489591
10037,75.93688774732082
10038,58.393410663943385
10039,89.53669425341545
10040,90.00571836190161
10041,61.7508760457447
10042,60.17981513252581
10043,64.60549688498654
10044,60.06614362960874
10045,51.15012044075118
10046,48.37453508868958
10047,45.02260106433258
10048,61.2354322205028
10049,84.86037722530644
10050,45.40922459015454
10051,90.14078250147513
10052,54.04610034625843
10053,53.51916659650254
10054,54.75397610489591
10055,62.23260028085565
10056,72.10238512132865
10057,54.04610034625843
10058,63.65896954696391
10059,77.30907580788833
10060,67.14692932993076
10061,59.65421212823377
10062,63.74954609300885
10063,55.00906137818659
10064,58.46499845505119
10065,54.12135073399356
10066,51.15012044075118
10067,84.6656064059701
10068,58.393410663943385
10069,59.49565953146208
10070,62.20323047584185
10071,58.88191553508511
10072,55.94085650886434
10073,54.736013446074594
10074,69.94730793686135
10075,60.78433867324128
10076,70.2859006030657
10077,59.160903328913
10078,61.7508760457447
10079,79.3642140425965
10080,58.88191553508511
10081,60.01979633613911
10082,84.67642582017551
10083,70.84675092776412
10084,55.31923884829859
10085,59.356371695871545
10086,83.82027537439848
10087,80.8936552188225
10088,45.207771705472595
10089,85.68562040604763
10090,55.370372410717685
10091,51.15012044075118
10092,59.558700607714364
10093,69.62071121740688
10094,66.8061634301729
10095,55.28304039111021
10096,87.6517405198951
10097,69.33236487240085
10098,86.59920192709717
10099,55.924568605006854
10100,84.80433942251267
10101,55.045811707810586
10102,59.53895739537958
10103,69.59722910860866
10104,55.31923884829859
10105,51.531201521832266
10106,55.94085650886434
10107,55.00906137818659
10108,55.31923884829859
10109,51.15012044075118
10110,58.069852486058096
10111,51.67036987780575
10112,70.11773176168062
10113,57.66619513817388
10114,55.1519204835358
10115,80.34500111627375
10116,51.15012044075118
10117,82.30917353960292
10118,48.37453508868958
10119,59.356371695871545
10120,65.99956078102616
10121,51.15012044075118
10122,84.94931032009075
10123,58.45122828926716
10124,53.95133425252626
10125,73.67055423677024
10126,51.15012044075118
10127,63.51173553483749
10128,55.94085650886434
